Office,Perth
Station Name,Almondbank
Location Code,14954
Parameter,River Stage(SG)
Timeseries,SG.15m.Cmd
Data to be used in accordance with the SEPA General Data Reuse Statement, http://apps.sepa.org.uk/riverlevels/data/frequently-asked-questions.aspx
Date/Time,SG(m)
22/05/2016 12:30:00,0.355
22/05/2016 12:45:00,0.353
22/05/2016 13:00:00,0.351
22/05/2016 13:15:00,0.349
22/05/2016 13:30:00,0.348
22/05/2016 13:45:00,0.346
22/05/2016 14:00:00,0.345
22/05/2016 14:15:00,0.344
22/05/2016 14:30:00,0.342
22/05/2016 14:45:00,0.34
22/05/2016 15:00:00,0.339
22/05/2016 15:15:00,0.337
22/05/2016 15:30:00,0.337
22/05/2016 15:45:00,0.335
22/05/2016 16:00:00,0.334
22/05/2016 16:15:00,0.333
22/05/2016 16:30:00,0.332
22/05/2016 16:45:00,0.331
22/05/2016 17:00:00,0.329
22/05/2016 17:15:00,0.328
22/05/2016 17:30:00,0.326
22/05/2016 17:45:00,0.325
22/05/2016 18:00:00,0.323
22/05/2016 18:15:00,0.321
22/05/2016 18:30:00,0.321
22/05/2016 18:45:00,0.321
22/05/2016 19:00:00,0.319
22/05/2016 19:15:00,0.319
22/05/2016 19:30:00,0.317
22/05/2016 19:45:00,0.316
22/05/2016 20:00:00,0.315
22/05/2016 20:15:00,0.315
22/05/2016 20:30:00,0.313
22/05/2016 20:45:00,0.312
22/05/2016 21:00:00,0.31
22/05/2016 21:15:00,0.307
22/05/2016 21:30:00,0.305
22/05/2016 21:45:00,0.303
22/05/2016 22:00:00,0.302
22/05/2016 22:15:00,0.3
22/05/2016 22:30:00,0.299
22/05/2016 22:45:00,0.297
22/05/2016 23:00:00,0.296
22/05/2016 23:15:00,0.295
22/05/2016 23:30:00,0.293
22/05/2016 23:45:00,0.293
23/05/2016 00:00:00,0.293
23/05/2016 00:15:00,0.291
23/05/2016 00:30:00,0.29
23/05/2016 00:45:00,0.289
23/05/2016 01:00:00,0.288
23/05/2016 01:15:00,0.287
23/05/2016 01:30:00,0.286
23/05/2016 01:45:00,0.285
23/05/2016 02:00:00,0.284
23/05/2016 02:15:00,0.283
23/05/2016 02:30:00,0.283
23/05/2016 02:45:00,0.282
23/05/2016 03:00:00,0.281
23/05/2016 03:15:00,0.281
23/05/2016 03:30:00,0.28
23/05/2016 03:45:00,0.279
23/05/2016 04:00:00,0.279
23/05/2016 04:15:00,0.279
23/05/2016 04:30:00,0.278
23/05/2016 04:45:00,0.279
23/05/2016 05:00:00,0.279
23/05/2016 05:15:00,0.279
23/05/2016 05:30:00,0.279
23/05/2016 05:45:00,0.279
23/05/2016 06:00:00,0.279
23/05/2016 06:15:00,0.28
23/05/2016 06:30:00,0.283
23/05/2016 06:45:00,0.287
23/05/2016 07:00:00,0.291
23/05/2016 07:15:00,0.295
23/05/2016 07:30:00,0.298
23/05/2016 07:45:00,0.307
23/05/2016 08:00:00,0.309
23/05/2016 08:15:00,0.314
23/05/2016 08:30:00,0.318
23/05/2016 08:45:00,0.321
23/05/2016 09:00:00,0.323
23/05/2016 09:15:00,0.322
23/05/2016 09:30:00,0.321
23/05/2016 09:45:00,0.32
23/05/2016 10:00:00,0.319
23/05/2016 10:15:00,0.318
23/05/2016 10:30:00,0.318
23/05/2016 10:45:00,0.318
23/05/2016 11:00:00,0.317
23/05/2016 11:15:00,0.316
23/05/2016 11:30:00,0.315
23/05/2016 11:45:00,0.315
23/05/2016 12:00:00,0.313
23/05/2016 12:15:00,0.312
23/05/2016 12:30:00,0.311
23/05/2016 12:45:00,0.309
23/05/2016 13:00:00,0.307
23/05/2016 13:15:00,0.306
23/05/2016 13:30:00,0.304
23/05/2016 13:45:00,0.302
23/05/2016 14:00:00,0.301
23/05/2016 14:15:00,0.3
23/05/2016 14:30:00,0.299
23/05/2016 14:45:00,0.297
23/05/2016 15:00:00,0.296
23/05/2016 15:15:00,0.295
23/05/2016 15:30:00,0.294
23/05/2016 15:45:00,0.292
23/05/2016 16:00:00,0.291
23/05/2016 16:15:00,0.289
23/05/2016 16:30:00,0.289
23/05/2016 16:45:00,0.288
23/05/2016 17:00:00,0.287
23/05/2016 17:15:00,0.286
23/05/2016 17:30:00,0.285
23/05/2016 17:45:00,0.285
23/05/2016 18:00:00,0.284
23/05/2016 18:15:00,0.283
23/05/2016 18:30:00,0.282
23/05/2016 18:45:00,0.281
23/05/2016 19:00:00,0.281
23/05/2016 19:15:00,0.282
23/05/2016 19:30:00,0.283
23/05/2016 19:45:00,0.287
23/05/2016 20:00:00,0.291
23/05/2016 20:15:00,0.291
23/05/2016 20:30:00,0.289
23/05/2016 20:45:00,0.287
23/05/2016 21:00:00,0.287
23/05/2016 21:15:00,0.286
23/05/2016 21:30:00,0.286
23/05/2016 21:45:00,0.286
23/05/2016 22:00:00,0.285
23/05/2016 22:15:00,0.283
23/05/2016 22:30:00,0.281
23/05/2016 22:45:00,0.279
23/05/2016 23:00:00,0.278
23/05/2016 23:15:00,0.276
23/05/2016 23:30:00,0.275
23/05/2016 23:45:00,0.273
24/05/2016 00:00:00,0.272
24/05/2016 00:15:00,0.272
24/05/2016 00:30:00,0.271
24/05/2016 00:45:00,0.27
24/05/2016 01:00:00,0.269
24/05/2016 01:15:00,0.268
24/05/2016 01:30:00,0.267
24/05/2016 01:45:00,0.267
24/05/2016 02:00:00,0.267
24/05/2016 02:15:00,0.265
24/05/2016 02:30:00,0.265
24/05/2016 02:45:00,0.263
24/05/2016 03:00:00,0.263
24/05/2016 03:15:00,0.262
24/05/2016 03:30:00,0.261
24/05/2016 03:45:00,0.26
24/05/2016 04:00:00,0.259
24/05/2016 04:15:00,0.259
24/05/2016 04:30:00,0.258
24/05/2016 04:45:00,0.257
24/05/2016 05:00:00,0.257
24/05/2016 05:15:00,0.257
24/05/2016 05:30:00,0.257
24/05/2016 05:45:00,0.256
24/05/2016 06:00:00,0.256
24/05/2016 06:15:00,0.256
24/05/2016 06:30:00,0.255
24/05/2016 06:45:00,0.255
24/05/2016 07:00:00,0.255
24/05/2016 07:15:00,0.255
24/05/2016 07:30:00,0.255
24/05/2016 07:45:00,0.262
24/05/2016 08:00:00,0.26
24/05/2016 08:15:00,0.257
24/05/2016 08:30:00,0.256
24/05/2016 08:45:00,0.257
24/05/2016 09:00:00,0.257
24/05/2016 09:15:00,0.255
24/05/2016 09:30:00,0.254
24/05/2016 09:45:00,0.254
24/05/2016 10:00:00,0.253
24/05/2016 10:15:00,0.253
24/05/2016 10:30:00,0.253
24/05/2016 10:45:00,0.253
24/05/2016 11:00:00,0.252
24/05/2016 11:15:00,0.253
24/05/2016 11:30:00,0.254
24/05/2016 11:45:00,0.255
24/05/2016 12:00:00,0.256
24/05/2016 12:15:00,0.256
24/05/2016 12:30:00,0.257
24/05/2016 12:45:00,0.257
24/05/2016 13:00:00,0.257
24/05/2016 13:15:00,0.257
24/05/2016 13:30:00,0.257
24/05/2016 13:45:00,0.256
24/05/2016 14:00:00,0.255
24/05/2016 14:15:00,0.255
24/05/2016 14:30:00,0.253
24/05/2016 14:45:00,0.253
24/05/2016 15:00:00,0.253
24/05/2016 15:15:00,0.252
24/05/2016 15:30:00,0.251
24/05/2016 15:45:00,0.251
24/05/2016 16:00:00,0.254
24/05/2016 16:15:00,0.253
24/05/2016 16:30:00,0.25
24/05/2016 16:45:00,0.249
24/05/2016 17:00:00,0.249
24/05/2016 17:15:00,0.248
24/05/2016 17:30:00,0.247
24/05/2016 17:45:00,0.247
24/05/2016 18:00:00,0.247
24/05/2016 18:15:00,0.246
24/05/2016 18:30:00,0.246
24/05/2016 18:45:00,0.246
24/05/2016 19:00:00,0.245
24/05/2016 19:15:00,0.245
24/05/2016 19:30:00,0.245
24/05/2016 19:45:00,0.244
24/05/2016 20:00:00,0.244
24/05/2016 20:15:00,0.244
24/05/2016 20:30:00,0.243
24/05/2016 20:45:00,0.242
24/05/2016 21:00:00,0.242
24/05/2016 21:15:00,0.242
24/05/2016 21:30:00,0.242
24/05/2016 21:45:00,0.241
24/05/2016 22:00:00,0.241
24/05/2016 22:15:00,0.241
24/05/2016 22:30:00,0.24
24/05/2016 22:45:00,0.24
24/05/2016 23:00:00,0.24
24/05/2016 23:15:00,0.239
24/05/2016 23:30:00,0.239
24/05/2016 23:45:00,0.239
25/05/2016 00:00:00,0.238
25/05/2016 00:15:00,0.238
25/05/2016 00:30:00,0.237
25/05/2016 00:45:00,0.237
25/05/2016 01:00:00,0.237
25/05/2016 01:15:00,0.237
25/05/2016 01:30:00,0.236
25/05/2016 01:45:00,0.236
25/05/2016 02:00:00,0.235
25/05/2016 02:15:00,0.235
25/05/2016 02:30:00,0.235
25/05/2016 02:45:00,0.234
25/05/2016 03:00:00,0.234
25/05/2016 03:15:00,0.233
25/05/2016 03:30:00,0.233
25/05/2016 03:45:00,0.233
25/05/2016 04:00:00,0.232
25/05/2016 04:15:00,0.232
25/05/2016 04:30:00,0.231
25/05/2016 04:45:00,0.231
25/05/2016 05:00:00,0.231
25/05/2016 05:15:00,0.231
25/05/2016 05:30:00,0.23
25/05/2016 05:45:00,0.23
25/05/2016 06:00:00,0.229
25/05/2016 06:15:00,0.23
25/05/2016 06:30:00,0.229
25/05/2016 06:45:00,0.229
25/05/2016 07:00:00,0.229
25/05/2016 07:15:00,0.229
25/05/2016 07:30:00,0.231
25/05/2016 07:45:00,0.231
25/05/2016 08:00:00,0.228
25/05/2016 08:15:00,0.227
25/05/2016 08:30:00,0.227
25/05/2016 08:45:00,0.227
25/05/2016 09:00:00,0.226
25/05/2016 09:15:00,0.225
25/05/2016 09:30:00,0.226
25/05/2016 09:45:00,0.225
25/05/2016 10:00:00,0.225
25/05/2016 10:15:00,0.225
25/05/2016 10:30:00,0.225
25/05/2016 10:45:00,0.225
25/05/2016 11:00:00,0.225
25/05/2016 11:15:00,0.224
25/05/2016 11:30:00,0.224
25/05/2016 11:45:00,0.224
25/05/2016 12:00:00,0.224
25/05/2016 12:15:00,0.224
25/05/2016 12:30:00,0.223
25/05/2016 12:45:00,0.223
25/05/2016 13:00:00,0.224
25/05/2016 13:15:00,0.223
25/05/2016 13:30:00,0.228
25/05/2016 13:45:00,0.225
25/05/2016 14:00:00,0.224
25/05/2016 14:15:00,0.223
25/05/2016 14:30:00,0.222
25/05/2016 14:45:00,0.222
25/05/2016 15:00:00,0.222
25/05/2016 15:15:00,0.221
25/05/2016 15:30:00,0.221
25/05/2016 15:45:00,0.221
25/05/2016 16:00:00,0.221
25/05/2016 16:15:00,0.22
25/05/2016 16:30:00,0.22
25/05/2016 16:45:00,0.22
25/05/2016 17:00:00,0.219
25/05/2016 17:15:00,0.219
25/05/2016 17:30:00,0.219
25/05/2016 17:45:00,0.219
25/05/2016 18:00:00,0.219
25/05/2016 18:15:00,0.219
25/05/2016 18:30:00,0.218
25/05/2016 18:45:00,0.218
25/05/2016 19:00:00,0.218
25/05/2016 19:15:00,0.218
25/05/2016 19:30:00,0.217
25/05/2016 19:45:00,0.217
25/05/2016 20:00:00,0.217
25/05/2016 20:15:00,0.217
25/05/2016 20:30:00,0.216
25/05/2016 20:45:00,0.216
25/05/2016 21:00:00,0.216
25/05/2016 21:15:00,0.215
25/05/2016 21:30:00,0.215
25/05/2016 21:45:00,0.215
25/05/2016 22:00:00,0.215
25/05/2016 22:15:00,0.214
25/05/2016 22:30:00,0.214
25/05/2016 22:45:00,0.213
25/05/2016 23:00:00,0.213
25/05/2016 23:15:00,0.213
25/05/2016 23:30:00,0.213
25/05/2016 23:45:00,0.212
26/05/2016 00:00:00,0.212
26/05/2016 00:15:00,0.212
26/05/2016 00:30:00,0.211
26/05/2016 00:45:00,0.211
26/05/2016 01:00:00,0.211
26/05/2016 01:15:00,0.21
26/05/2016 01:30:00,0.21
26/05/2016 01:45:00,0.209
26/05/2016 02:00:00,0.209
26/05/2016 02:15:00,0.208
26/05/2016 02:30:00,0.208
26/05/2016 02:45:00,0.207
26/05/2016 03:00:00,0.207
26/05/2016 03:15:00,0.207
26/05/2016 03:30:00,0.206
26/05/2016 03:45:00,0.206
26/05/2016 04:00:00,0.205
26/05/2016 04:15:00,0.205
26/05/2016 04:30:00,0.205
26/05/2016 04:45:00,0.204
26/05/2016 05:00:00,0.204
26/05/2016 05:15:00,0.203
26/05/2016 05:30:00,0.203
26/05/2016 05:45:00,0.203
26/05/2016 06:00:00,0.203
26/05/2016 06:15:00,0.202
26/05/2016 06:30:00,0.202
26/05/2016 06:45:00,0.201
26/05/2016 07:00:00,0.201
26/05/2016 07:15:00,0.201
26/05/2016 07:30:00,0.201
26/05/2016 07:45:00,0.201
26/05/2016 08:00:00,0.203
26/05/2016 08:15:00,0.205
26/05/2016 08:30:00,0.203
26/05/2016 08:45:00,0.201
26/05/2016 09:00:00,0.2
26/05/2016 09:15:00,0.2
26/05/2016 09:30:00,0.199
26/05/2016 09:45:00,0.199
